trip_purpose,companion_count,booking_window,booking_channel,flights_per_year,competitor_used,price_paid_range,price_perception,experience_vs_expectation,comfort_rating,service_rating,return_intent,next_travel_window,booking_decision_factor,loyalty_sensitive,seat_class,departure_hour,departure_day,departure_month,occupancy_pct,route,flight_id,seat_id,purchase_intent_score,offer_clicked,offer_shown,submitted_at
BUSINESS,PAIR,LAST_MINUTE,WEBSITE,6_10,NO,UNDER_100,FAIR,BETTER,2,3,BOOKED,THIS_MONTH,BEST_SCHEDULE,DEPENDS,ECONOMY,22,18,7,56.9,CMN-FCO,1,11G,80,0,UPGRADE,2026-05-16 15:32:57.926941
BUSINESS,PAIR,MONTHS_AHEAD,WEBSITE,1_2,NO,UNDER_100,TOO_EXPENSIVE,AS_EXPECTED,4,4,PLANNED,THIS_MONTH,LOWEST_PRICE,DEPENDS,ECONOMY,9,3,4,91.8,CMN-YUL,18,30F,49,1,UPGRADE,2026-05-14 11:52:57.926941
LEISURE,GROUP,MONTHS_AHEAD,WEBSITE,3_5,NO,100_200,GREAT_DEAL,AS_EXPECTED,3,4,NO,THIS_MONTH,BEST_SCHEDULE,NO,ECONOMY,10,13,5,48.6,CMN-DXB,14,32G,50,1,UPGRADE,2026-06-11 10:36:57.926941
LEISURE,GROUP,MONTHS_AHEAD,WEBSITE,3_5,NO,100_200,FAIR,BETTER,2,2,BOOKED,1_3_MONTHS,DIRECT_FLIGHT,DEPENDS,BUSINESS,12,13,10,98.8,CMN-TUN,17,36A,72,0,LOUNGE,2026-06-13 19:45:57.926941
LEISURE,GROUP,FEW_WEEKS,WEBSITE,3_5,NO,200_400,TOO_EXPENSIVE,AS_EXPECTED,2,4,NO,1_3_MONTHS,BEST_SCHEDULE,YES,BUSINESS,5,18,9,94.6,CMN-DXB,32,2B,29,0,LOUNGE,2026-05-20 10:51:57.926941
FAMILY,ALONE,LAST_MINUTE,MOBILE_APP,6_10,NO,100_200,GREAT_DEAL,AS_EXPECTED,3,4,PLANNED,NOT_SURE,BEST_SCHEDULE,NO,ECONOMY,23,23,4,83.5,CMN-YUL,43,24H,66,0,UPGRADE,2026-05-02 14:54:57.926941
BUSINESS,ALONE,MONTHS_AHEAD,MOBILE_APP,3_5,YES,UNDER_100,GREAT_DEAL,WORSE,4,2,PLANNED,3_6_MONTHS,DIRECT_FLIGHT,YES,ECONOMY,4,24,10,76.1,CMN-AMS,31,27D,36,0,UPGRADE,2026-05-07 03:05:57.926941
BUSINESS,GROUP,MONTHS_AHEAD,WEBSITE,3_5,YES,UNDER_100,GREAT_DEAL,BETTER,5,3,PLANNED,3_6_MONTHS,DIRECT_FLIGHT,YES,BUSINESS,2,15,9,50.3,CMN-CAI,1,6D,54,1,LOUNGE,2026-04-27 02:36:57.926941
BUSINESS,ALONE,LAST_MINUTE,WEBSITE,10_PLUS,YES,ABOVE_400,GREAT_DEAL,AS_EXPECTED,5,3,BOOKED,1_3_MONTHS,LOWEST_PRICE,DEPENDS,ECONOMY,17,2,12,61.9,CMN-ORY,38,31J,82,1,UPGRADE,2026-04-24 16:17:57.926941
BUSINESS,ALONE,MONTHS_AHEAD,AGENCY,3_5,NO,100_200,FAIR,BETTER,2,5,PLANNED,3_6_MONTHS,LOYALTY,YES,BUSINESS,22,11,4,59.3,CMN-LIS,43,20H,47,1,LOUNGE,2026-03-24 16:33:57.926941
LEISURE,GROUP,LAST_MINUTE,WEBSITE,1_2,YES,200_400,TOO_EXPENSIVE,WORSE,4,4,BOOKED,3_6_MONTHS,LOWEST_PRICE,DEPENDS,ECONOMY,17,10,11,50.6,CMN-LIS,17,8B,52,1,UPGRADE,2026-06-02 07:19:57.926941
LEISURE,PAIR,MONTHS_AHEAD,MOBILE_APP,6_10,NO,UNDER_100,FAIR,AS_EXPECTED,2,2,PLANNED,1_3_MONTHS,LOYALTY,YES,ECONOMY,14,18,12,68.1,CMN-CDG,8,5C,42,0,UPGRADE,2026-03-14 06:25:57.926941
BUSINESS,ALONE,LAST_MINUTE,WEBSITE,6_10,NO,UNDER_100,TOO_EXPENSIVE,BETTER,3,2,PLANNED,NOT_SURE,BEST_SCHEDULE,NO,ECONOMY,7,28,3,97.7,CMN-LHR,27,2C,80,0,UPGRADE,2026-03-17 20:10:57.926941
